original order,Case Number.1,Date,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N/U),Species,Injury,Investigator or Source,href
6286.0,2018.04.30.R,Reported 30-Apr-2018,Abr,2018.0,Não Provocado,thailand,Hua Hin,Sai Noi Beach,Swimming,M,,Não,Desconhecido,Minor injury to ankle,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf
6285.0,2018.04.28.b,28-Apr-2018,Abr,2018.0,Não Provocado,costa rica,Cocos Island,Manuelita,Scuba diving,M,30,Não,Tiger shark,"No injury, shark bit scuba gear",Costa Rica Star. 4/28/2018,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf
6284.0,2018.04.28.a,28-Apr-2018,Abr,2018.0,Não Provocado,australia,Western Australia,Gearys Beach,Surfing,M,,Não,Desconhecido,"No injury, knocked off board by shark","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf
6283.0,2018.04.25.b,25-Apr-2018,Abr,2018.0,Questionavel,australia,New South Wales,Lennox Head,Surfing,M,,Não,Questionable,No injury,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf
6282.0,2018.04.25.a,25-Apr-2018,Abr,2018.0,Não Provocado,australia,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,Não,3 m shark,"No injury, knocked off board by shark","B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf
6281.0,2018.04.24,24-Apr-2018,Abr,2018.0,Não Provocado,australia,Western Australia,"South Point, Gracetown",Surfing,M,,Não,"White shark, 3.5 m","No injury, shark struck his leg","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf
6280.0,2018.04.23,23-Apr-2018,Abr,2018.0,Não Provocado,maldives,Alifu Alifu Atoll,Madoogali,Fishing,M,32,Não,Tiger shark,5-inch cut to hand,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf
6279.0,2018.04.22,22-Apr-2018,Abr,2018.0,Não Provocado,south africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,Não,"White shark, 2.5 m","No injury, shark bit hole in ski","Africa News Agency, 4/22/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf
6278.0,2018.04.19,19-Apr-2018,Abr,2018.0,Não Provocado,usa,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Não,6' shark,Lacerations to right lower leg,"The Garden Island, 4/19/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf
6277.0,2018.04.15.d,15-Apr-2018,Abr,2018.0,Não Provocado,thailand,Hua Hin,Sai Noi Beach,Swimming,M,54,Não,Juvenile bull shark,Lacerations to foot and ankle,"Straits Times, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf
6276.0,2018.04.15.c,15-Apr-2018,Abr,2018.0,Não Provocado,brazil,Pernambuco,Piedade,Swimming,M,34,Desconhecido,Desconhecido,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated","Globo, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf
6275.0,2018.04.15.b,15-Apr-2018,Abr,2018.0,Não Provocado,australia,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Não,Desconhecido,Laceration to right thigh,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf
6274.0,2018.04.15.a,15-Apr-2018,Abr,2018.0,Não Provocado,australia,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Não,Desconhecido,Lacerations to legs,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf
6273.0,2018.04.14,14-Apr-2018,Abr,2018.0,Não Provocado,bahamas,New Providence,Nirvana Beach,Surfing,M,,Não,Tiger shark,No Injury. Shark swam away with the surf board,"Tribune242,",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff
6272.0,2018.04.10.R,Reported 10-Apr-2018,Abr,2018.0,Desconhecido,brazil,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Não,Shark involvement not confirmed,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf
6271.0,2018.04.09,09-Apr-2018,Abr,2018.0,Não Provocado,new caledonia,,"Magenta Beach, Noumea",Windsurfing,Desconhecido,,Não,2 m shark,"No injury, shark bit board","Les Nouvelles Caledoniennes, 4/10/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf
6270.0,2018.04.05,05-Apr-2018,Abr,2018.0,Não Provocado,bahamas,,Bimini,Swimming,M,12,Não,Bull shark,"2 puncture wounds to left foot, abrasion to right foot","K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf
6269.0,2018.04.02,03-Apr-2018,Abr,2018.0,Não Provocado,south africa,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Não,White shark,Lacerations to left knee & lower leg,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf
6268.0,2018.03.31,31-Mar-2018,Mar,2018.0,Não Provocado,usa,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Não,"Tiger shark, 12'",Injuries to right leg & hand,"Khon2, 3/31/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf
6267.0,2018.03.14,14-Mar-2018,Mar,2018.0,Não Provocado,australia,Western Australia,Waterman's Bay,Wading,M,10,Não,Wobbegong shark,Minor injuries to legs,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf
6266.0,2018.03.09.b,9-Mar-2018,Mar,2018.0,Não Provocado,australia,Victoria,Lorne,Swimming,M,69,Não,3.5 m shark,"No injury, said to have been charged by sharks several times","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf
6265.0,2018.03.09.a,9-Mar-2018,Mar,2018.0,Não Provocado,australia,Victoria,Winkipop,Surfing,M,18,Não,1.8 m shark,"Minor injury, ankle grazed","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf
6264.0,2018.02.24,24-Feb-2018,Fev,2018.0,Não Provocado,south africa,KwaZulu-Natal,Durban,Scuba Diving,M,38,Não,Blacktip shark, The shark & man simply collided; neither were injured,"International Business Times, 3/1/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf
6263.0,2018.02.23,23-Feb-2018,Fev,2018.0,Não Provocado,australia,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Não,"Juvenile white shark,  2.7 to 3.2 m",Laceratons to right leg & foot,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf
6262.0,2018.02.17,18-Feb-2018,Fev,2018.0,Provocado,australia,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,Não,Desconhecido,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf
6261.0,2018.02.15,15-Feb-2018,Fev,2018.0,Não Provocado,australia,New South Wales,"Surf Beach, Kiama",Walking,M,35,Não,"Bull shark, 2 m",Puncture wounds to leff foot & lower leg,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf
6260.0,2018.02.14,14-Feb-2018,Fev,2018.0,Desconhecido,australia,Queensland,Mooloolaba Beach,Swimming,F,,Não,Possibly a wobbegong,"Collision / No injury, no attack","Sunshine Coast Daily, 2/15/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf
6259.0,2018.02.11,11-Feb-2018,Fev,2018.0,Desconhecido,brazil,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Não,"Injury believed caused by an eel, not a shark",Lacerations to 4 toes of right foot,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf
6258.0,2018.02.03,03-Feb-2018,Fev,2018.0,Não Provocado,ecuador,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Não,Galapagos shark?,Injuries to right foot,"The Standard (UK), 2/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf
6257.0,2018.02.01,01-Feb-2018,Fev,2018.0,Desconhecido,australia,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,Não,2m shark,"No injury no attack. This is considerd an ""encounter""","The West Australian, 2/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf
6256.0,2018.01.28,28-Jan-2018,Jan,2018.0,Não Provocado,australia,Western Australia,Cone Bay,Desconhecido,M,18,Não,Bull shark,Injuries to right leg,"ABC.net.au, 01/28/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf
6255.0,2018.01.21,21-Jan-2018,Jan,2018.0,Não Provocado,new caledonia,,Nouville,Spearfishing,M,40s,Não,"Bull shark, 3 m ",Injuries to abdomen and arm,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf
6254.0,2018.01.14,14-Jan-2018,Jan,2018.0,Não Provocado,australia,Queensland,Lizard Island,Diving,M,,Não,Grey reef shark. 2 m,Severe laceration to left forearm,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf
6253.0,2018.01.13,13-Jan-2018,Jan,2018.0,Não Provocado,australia,New South Wales,Martin Islet,Free diving,M,28,Não,"White shark, 3.5 m","No injury, shark took his swimfin","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf
6252.0,2018.01.12,12-Jan-2018,Jan,2018.0,Não Provocado,brazil,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Não,small shark,Minor injury to left forearm,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf
6251.0,2018.01.05,05-Jan-2018,Jan,2018.0,Não Provocado,australia,Western Australia,"South Point, Gracetown",Surfing,M,,Não,Wobbegong shark?,Foot bitten,"Perth Now, 1/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf
6250.0,2017.12.31,31-Dec-2017,Dez,2017.0,Não Provocado,usa,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Não,Tiger shark,Severe lacerations to left thigh & knee,"J. Howard, Surfling Now, 1/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf
6249.0,2017.12.30,30-Dec-2017,Dez,2017.0,Não Provocado,usa,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Não,Desconhecido,Foot bitten,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf
6248.0,2017.12.21,21-Dec-2017,Dez,2017.0,Provocado,malaysia,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,Não,Juvenile nurse shark,"Minor injury to thigh, PROVOKED INCIDENT",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf
6247.0,2017.12.09,09-Dec-2017,Dez,2017.0,Não Provocado,bahamas,,,Snorkeling,F,25,Não,Nurse shark. 5',Minor injury to arm,"Daily Star, 12/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf
6246.0,2017.11.30.b,30-Nov-2017,Nov,2017.0,Não Provocado,costa rica,Cocos Island,Manuelita,Scuba Diving,M,26,Não,"Tiger shark, female",Serious injury to leg,R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf
6245.0,2017.11.30.a,30-Nov-2017,Nov,2017.0,Não Provocado,costa rica,Cocos Island,Manuelita,Scuba diving,F,49,Sim,"Tiger shark, female",FATAL,R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf
6244.0,2017.11.25.R,Reported 25-Nov-2017,Nov,2017.0,Desastre do Mar,libya,, Gars Garabulli,2 boats capsized,Desconhecido,,Sim,Some drowned but other may have been killed by blue sharks,FATAL,"TG Com 24, 11/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf
6243.0,2017.11.24,24-Nov-2017,Nov,2017.0,Não Provocado,usa,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Não,"White shark, 4.6 m",Right leg bitten,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf
6242.0,2017.11.18,18-Nov-2017,Nov,2017.0,Não Provocado,usa,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Não,Desconhecido,Heel bitten,"Florida Today, 11/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf
6241.0,2017.11.13.R,Reported 13-Nov-2017,Nov,2017.0,Não Provocado,desconhecido,,,Surfing,M,24,Não,Desconhecido,Puncture wounds to feet,Instagram,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf
6240.0,2017.11.13,13-Nov-2017,Nov,2017.0,Não Provocado,australia,New South Wales,Avoca Beach,Surfing,M,25,Não,2 m shark,Puncture wounds to left shoulder,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf
6239.0,2017.11.04,04-Nov-2017,Nov,2017.0,Não Provocado,cuba,Holquin Province,Guardalavaca Beach,Night bathing,M,22,Sim,Tiger shark,FATAL,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf
6238.0,2017.10.31.R,Reported 31-Oct-2017,Out,2017.0,Não Provocado,australia,Queensland,Magnetic Island,Snorkeling,M,7,Não,Cookiecutter shark,Calf injured,"Townsville Bulletin, 10/31/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf
6237.0,2017.10.28,28-Oct-2017,Out,2017.0,Não Provocado,australia,New South Wales,Birubi Point,Surfing,M,31,Não,"Wobbegong shark, 1 m",Minor injury to foot,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf
6236.0,2017.10.26,26-Oct-2017,Out,2017.0,Não Provocado,usa,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,Não,Desconhecido,No injury but shark bit SUP,"Hawaii News Now, 10/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf
6235.0,2017.10.23.c,23-Oct-2017,Out,2017.0,Não Provocado,mauritius,Pamplemousses ,Le Goulet,Swimming,M,,Não,Desconhecido,Minor injury to foot,"J. LeBlanc, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf
6234.0,2017.10.23.b,23-Oct-2017,Out,2017.0,Não Provocado,usa,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Não,Desconhecido,Lacerations to left foot,"WPBF News, 10/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf
6233.0,2017.10.23.a,23-Oct-2017,Out,2017.0,Não Provocado,usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Não,Desconhecido,Severe lacerations to left hand & wrist,"Palm Beach Post, 11/1/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf
6232.0,2017.10.22,22-Oct-2017,Out,2017.0,Não Provocado,australia,South Australia,Normanville,Kayaking / Fishing,F,15,Não,"White shark, 4.5 m",Minor injuries,"Nine News, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf
6231.0,2017.10.21,21-Oct-2017,Out,2017.0,Não Provocado,new zealand,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,Não,2 m shark,"No injury, shark shook kayak x3 ","New Zealand Herald, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf
6230.0,2017.10.18,18-Oct-2017,Out,2017.0,Não Provocado,usa,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Não,"Spinner shark, 4 to 5 feet",Puncture wounds & lacerations to foot,"WPTV, 10/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf
6229.0,2017.10.09,09-Oct-2017,Out,2017.0,Não Provocado,usa,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Não,"Tiger shark, 8 to 10 feet",Lacerations to left hand,"Hawaii News Now, 10/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf
6228.0,2017.10.05,05-Oct-2017,Out,2017.0,Não Provocado,usa,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,Não,8' shark,Abrasions,"Maui Now, 10/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf
6227.0,2017.10.01,01-Oct-2017,Out,2017.0,Desconhecido,south africa,Western Cape Province,Dyer Island,Scuba Diving,M,31,Desconhecido,Death may have been due to drowning,FATAL,"All Africa, 10/11/2017 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf
6226.0,2017.09.25.b,25-Sep-2017,Set,2017.0,Não Provocado,usa,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Não,5' shark,Lacerations to lower left leg and foot,"News4Jax, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf
6225.0,2017.09.25.a,25-Sep-2017,Set,2017.0,Não Provocado,australia,Western Australia,Gracetown,Surfing,M,,Não,"White shark, 3.5 m","No injury, board damaged by shark","Stab Magazine, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf
6224.0,2017.09.24.b,24-Sep-2017,Set,2017.0,Desconhecido,usa,New York,Rockaway,Surfing,M,33,Desconhecido,Questionable,"Lacerations to right ankle, foot & toe","S. Curatolo-Wageman, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf
6223.0,2017.09.24.a,24-Sep-2017,Set,2017.0,Não Provocado,usa,Florida,Fort Worth,Surfing,M,,Não,4' to 5' shark,Laceration to upper arm,"Sun Sentinel, 9/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf
6222.0,2017.09.20,20-Sep-2017,Set,2017.0,Não Provocado,usa,Florida,Palm Beach County,Surfing,M,,Não,Desconhecido,Minor lacerations to sole of left foot,"WPTV, 9/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf
6221.0,2017.09.16.b,16-Sep-2017,Set,2017.0,Não Provocado,spain,Canary Islands,Gran Canaria ,Body surfing,M,13,Não,"Porbeagle, 1.5 m",Lacerations to right foot,Turismo La Aldea,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf
6220.0,2017.09.16.a,16-Sep-2017,Set,2017.0,Não Provocado,usa,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Não,Desconhecido,Lacerations to left foot,"Orlando Sentinel, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf
6219.0,2017.09.15.b,15-Sep-2017,Set,2017.0,Desconhecido,south africa,Western Cape Province,Hawston,Scuba Diving,M,25,Desconhecido,Desconhecido,"FATAL, but death was probably due to drowning","Ground Up, 9/20/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf
6218.0,2017.09.15.a,15-Sep-2017,Set,2017.0,Desconhecido,samoa, Upolu Island,Nofoalii,Fishing,M,,Não,Desconhecido,Injuries to hands and legs,"Samoa Observer, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf
6217.0,2017.09.14,Sep-2017,Set,2017.0,Barco,australia,Westerm Australia,Esperance,Fishing,Desconhecido,,Não,"White shark, 3.5m","sharks rammed boats, no injury to occupants","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf
6216.0,2017.09.13,13-Sep-2017,Set,2017.0,Não Provocado,usa,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Não,5' to 6' shark,Lacerations to left foot,"TrackingSharks.com, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf
6215.0,2017.09.10.b,10-Sep-2017,Set,2017.0,Não Provocado,australia,Westerm Australia,Sam's Creek area,Swimming,M,,Não,Desconhecido,Minor injuries,"West Australian, 9/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf
6214.0,2017.09.10.a,10-Sep-2017,Set,2017.0,Não Provocado,australia,New South Wales,Iluka Beach,Surfing,M,35,Não,"White shark, 3 to 3.5m ",Minor lacerations to right hip,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf
6213.0,2017.09.06.R,Reported 06-Sep-2017,Set,2017.0,Não Provocado,solomon islands,,Owarigi Island,Spearfishing,M,,Não,Desconhecido,Foot bitten,BBC,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.06-Bartholomew.pdf
